,first_name,last_name,party
370,Paweł,Szefernaker,PiS
371,Andrzej,Szejna,Lewica
372,Andrzej,Szewiński,KO
373,Andrzej,Szlachta,PiS
374,Adam,Szłapka,KO
375,Jan,Szopiński,Lewica
376,Paweł,Szramka,PS
377,Krzysztof,Szulowski,PiS
378,Krystyna,Szumilas,KO
379,Łukasz,Szumowski,PiS
380,Stanisław,Szwed,PiS
381,Ewa,Szymańska,PiS
382,Tomasz,Szymański,KO
383,Szymon,Szynkowski vel Sęk,PiS
384,Agnieszka,Ścigaj,PS
385,Iwona,Śledzińska-Katarasińska,KO
386,Krzysztof,Śmiszek,Lewica
387,Janusz,Śniadek,PiS
388,Adam,Śnieżek,PiS
389,Jacek,Świat,PiS
390,Krzysztof,Tchórzewski,PiS
391,Robert,Telus,PiS
392,Ryszard,Terlecki,PiS
393,Tadeusz,Tomaszewski,Lewica
394,Włodzimierz,Tomaszewski,PiS
395,Jacek,Tomczak,KP
396,Cezary,Tomczyk,KO
397,Małgorzata,Tracz,KO
398,Tomasz,Trela,Lewica
399,Mariusz,Trepka,PiS
400,Krzysztof,Truskolaski,KO
401,Krzysztof,Tuduj,Konfederacja
402,Sylwester,Tułajew,PiS
403,Stanisław,Tyszka,Kukiz15
404,Robert,Tyszkiewicz,KO
405,Katarzyna,Ueberhan,Lewica
406,Jarosław,Urbaniak,KO
407,Michał,Urbaniak,Konfederacja
408,Piotr,Uruski,PiS
409,Piotr,Uściński,PiS
410,Jarosław,Wałęsa,KO
411,Marcin,Warchoł,PiS
412,Teresa,Wargocka,PiS
413,Robert,Warwas,PiS
414,Jan,Warzecha,PiS
415,Małgorzata,Wassermann,PiS
416,Piotr,Wawrzyk,PiS
417,Maciej,Wąsik,PiS
418,Marta,Wcisło,KO
419,Rafał,Weber,PiS
420,Marek,Wesoły,PiS
421,Patryk,Wicher,PiS
422,Dariusz,Wieczorek,Lewica
423,Monika,Wielichowska,KO
424,Ryszard,Wilczyński,KO
425,Robert,Winnicki,Konfederacja
426,Mariusz,Witczak,KO
427,Elżbieta,Witek,PiS
428,Anna,Wojciechowska,KO
429,Grzegorz,Wojciechowski,PiS
430,Agata Katarzyna,Wojtyszek,PiS
431,Zdzisław,Wolski,Lewica
432,Bogusław,Wontor,Lewica
433,Michał,Woś,PiS
434,Grzegorz Adam,Woźniak,PiS
435,Tadeusz,Woźniak,PiS
436,Michał,Wójcik,PiS
437,Bartłomiej,Wróblewski,PiS
438,Michał,Wypij,Porozumienie
439,Marek,Zagórski,PiS
440,Paweł,Zalewski,Polska2050
441,Adrian,Zandberg,Lewica
442,Marcelina,Zawisza,Lewica
443,Sławomir,Zawiślak,PiS
444,Witold,Zembaczyński,KO
445,Piotr,Zgorzelski,KP
446,Zbigniew,Ziejewski,KP
447,Urszula,Zielińska,KO
448,Jarosław,Zieliński,PiS
449,Tomasz,Zieliński,PiS
450,Piotr Benedykt,Zientarski,KO
451,Tomasz,Zimoch,Polska2050
452,Zbigniew,Ziobro,PiS
453,Wojciech,Zubowski,PiS
454,Tadeusz,Zwiefka,KO
455,Ireneusz,Zyska,PiS
456,Jacek,Żalek,PiS
457,Bożena,Żelazowska,KP
458,Stanisław,Żuk,Kukiz15
459,Anna Maria,Żukowska,Lewica
460,Władysław,Dajczak,PiS
461,Jolanta,Fedak,KP
462,Ewa,Leniart,PiS
463,Adam,Lipiński,PiS
464,Killion,Munyama,KO
465,Marek,Opioła,PiS
466,Dominik,Tarczyński,PiS
467,Anna,Wasilewska,KO
468,Jerzy,Wilk,PiS
